training_type,file,epochs,hamming_loss,exact_match,function_tp,dimension_tp,pred_dim_per_turn,true_dim_per_turn,dim_overprediction_ratio
joint,results_multidim_joint.txt,48,26.784199363732768,1.6967126193001063,4782,4782,3.93,1.37,2.8686131386861313
joint,results_multidim_joint.txt,28,27.529162248144225,1.325556733828208,4769,4769,4.0,1.37,2.9197080291970803
joint,results_multidim_joint.txt,51,24.67391304347826,2.4920466595970305,4774,4774,3.71,1.37,2.708029197080292
joint,results_multidim_joint.txt,33,25.281018027571577,1.6171792152704134,4774,4774,3.77,1.37,2.751824817518248
joint,results_multidim_joint.txt,47,24.716330858960763,3.2873806998939554,4786,4786,3.72,1.37,2.7153284671532845
joint,results_multidim_joint.txt,41,25.808589607635206,2.1474019088016965,4761,4761,3.82,1.37,2.788321167883211
joint,results_multidim_joint.txt,34,26.80275715800636,2.0943796394485683,4796,4796,3.94,1.37,2.875912408759124
joint,results_multidim_joint.txt,53,24.45917285259809,2.8366914103923646,4781,4781,3.69,1.37,2.6934306569343063
joint,results_multidim_joint.txt,51,24.257688229056203,3.0752916224814424,4770,4770,3.67,1.37,2.678832116788321
joint,results_multidim_joint.txt,48,25.43743372216331,1.7762460233297985,4756,4756,3.78,1.37,2.7591240875912404
joint,results_multidim_joint.txt,71,23.756627783669142,2.0943796394485683,4803,4803,3.63,1.37,2.64963503649635
joint,results_multidim_joint.txt,100,22.16595970307529,2.8101802757158003,4792,4792,3.46,1.37,2.5255474452554743
independent,results_multidim_independent.txt,41,8.669141039236479,42.20572640509014,4737,4737,2.07,1.37,1.5109489051094889
independent,results_multidim_independent.txt,42,8.396076352067869,44.24708377518558,4719,4719,2.03,1.37,1.4817518248175179
independent,results_multidim_independent.txt,66,7.606044538706256,47.53446447507954,4690,4690,1.94,1.37,1.4160583941605838
independent,results_multidim_independent.txt,67,7.566277836691411,48.38282078472959,4694,4694,1.94,1.37,1.4160583941605838
independent,results_multidim_independent.txt,83,7.218981972428421,49.57582184517497,4687,4687,1.9,1.37,1.386861313868613
independent,results_multidim_independent.txt,60,7.513255567338282,48.01166489925769,4692,4692,1.93,1.37,1.4087591240875912
independent,results_multidim_independent.txt,76,7.412513255567338,48.67444326617179,4688,4688,1.92,1.37,1.4014598540145984
independent,results_multidim_independent.txt,27,10.227995758218452,35.021208907741254,4804,4804,2.26,1.37,1.6496350364963501
independent,results_multidim_independent.txt,58,7.346235418875928,48.80699893955461,4698,4698,1.92,1.37,1.4014598540145984
independent,results_multidim_independent.txt,88,6.884941675503711,51.21951219512195,4663,4663,1.85,1.37,1.3503649635036497
independent,results_multidim_independent.txt,100,6.728525980911983,52.49204665959704,4605,4605,1.81,1.37,1.3211678832116787
